,day,pair_id,batch,entry_ts,ce_k,pe_k,ce_entry,pe_entry,ce_exit,pe_exit,exit_ts,exit_reason,ce_pnl_pts,pe_pnl_pts,pair_pnl_pts,pair_pnl_$
0,20240102,0,0,17969,472.0,471.0,0.365,0.14500000000000002,0.14500000000000002,0.455,19438,t1_breach_half,0.21999999999999997,-0.31,-0.09000000000000002,-9.000000000000002
1,20240102,1,0,17969,472.0,471.0,0.365,0.14500000000000002,0.14500000000000002,0.455,19441,t1_breach_half,0.21999999999999997,-0.31,-0.09000000000000002,-9.000000000000002
2,20240104,0,0,14601,469.0,468.0,0.72,0.11499999999999999,0.48,0.14500000000000002,16406,t1_breach_half,0.24,-0.030000000000000027,0.20999999999999996,20.999999999999996
3,20240104,1,0,14601,469.0,468.0,0.72,0.11499999999999999,0.485,0.14500000000000002,16410,t1_breach_half,0.235,-0.030000000000000027,0.20499999999999996,20.499999999999996
4,20240110,0,0,5978,475.0,474.0,0.795,0.295,0.88,0.135,12977,t1_breach_half,-0.08499999999999996,0.15999999999999998,0.07500000000000001,7.500000000000001
5,20240110,1,0,5978,475.0,474.0,0.795,0.295,0.86,0.135,12979,t1_breach_half,-0.06499999999999995,0.15999999999999998,0.09500000000000003,9.500000000000004
6,20240110,2,1,15635,476.0,475.0,0.325,0.215,0.915,0.125,17043,t1_breach_half,-0.5900000000000001,0.09,-0.5000000000000001,-50.000000000000014
7,20240110,3,1,15635,476.0,475.0,0.325,0.215,0.935,0.125,17045,t1_breach_half,-0.6100000000000001,0.09,-0.5200000000000001,-52.000000000000014
8,20240122,0,0,10937,484.0,483.0,0.665,0.295,0.395,0.435,13069,t1_breach_half,0.27,-0.14,0.13,13.0
9,20240122,1,0,10937,484.0,483.0,0.665,0.295,0.255,0.585,14249,t1_breach_half,0.41000000000000003,-0.29,0.12000000000000005,12.000000000000005
10,20240122,2,1,16546,484.0,483.0,0.485,0.185,0.185,0.425,17408,t1_breach_half,0.3,-0.24,0.06,6.0
11,20240122,3,1,16546,484.0,483.0,0.485,0.185,0.185,0.435,17410,t1_breach_half,0.3,-0.25,0.04999999999999999,4.999999999999999
12,20240126,0,0,9249,489.0,488.0,0.605,0.435,0.255,0.825,11137,t1_breach_half,0.35,-0.38999999999999996,-0.03999999999999998,-3.9999999999999982
13,20240126,1,0,9249,489.0,488.0,0.605,0.435,0.245,0.825,11139,t1_breach_half,0.36,-0.38999999999999996,-0.02999999999999997,-2.9999999999999973
